Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,var,planner_calls,online_time,offline_time
4.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,14.0000,666.5361,899.8839
4.0000,2.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.5000,0.8750,0.6000,0.9000,0.6667,0.9167,0.6667,0.9167,1.0000,0.2222,26.0000,3181.0572,899.8839
4.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,14.0000,1260.6042,899.8839
4.0000,5.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,14.0000,852.8296,899.8839
4.0000,6.0000,0.5000,0.8750,0.5000,0.8750,0.5000,0.8750,0.5000,0.8750,0.5000,0.8750,0.5000,0.8750,0.5000,0.8750,2.0000,0.2500,14.0000,824.4089,899.8839
4.0000,7.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,14.0000,648.8669,899.8839
5.0000,0.0000,0.0000,0.7500,0.5000,0.8750,0.6667,0.9167,0.7500,0.9375,0.8000,0.9500,0.8333,0.9583,0.8333,0.9583,1.0000,0.1389,21.0000,1115.7004,640.8939
5.0000,1.0000,1.0000,1.0000,0.5000,0.8750,0.3333,0.8333,0.5000,0.8750,0.6000,0.9000,0.6667,0.9167,0.6667,0.9167,1.0000,0.2222,32.0000,2799.6260,640.8939
5.0000,2.0000,0.0000,0.7500,0.3333,0.8125,0.4000,0.8333,0.4286,0.8438,0.4444,0.8500,0.4545,0.8542,0.4545,0.8542,1.8333,0.2479,21.0000,1621.8110,640.8939
5.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,14.0000,906.6611,640.8939
